Position,Driver,Team,Points,Status
1.0,VER,Red Bull Racing,25.0,Finished
2.0,RAI,Ferrari,18.0,Finished
3.0,VET,Ferrari,15.0,Finished
4.0,GRO,Haas F1 Team,12.0,+1 Lap
5.0,MAG,Haas F1 Team,10.0,+1 Lap
6.0,OCO,Force India,8.0,+1 Lap
7.0,PER,Force India,6.0,+1 Lap
8.0,ALO,McLaren,4.0,+1 Lap
9.0,LEC,Sauber,2.0,+1 Lap
10.0,ERI,Sauber,1.0,+1 Lap
11.0,GAS,Toro Rosso,0.0,+1 Lap
12.0,SAI,Renault,0.0,+1 Lap
13.0,SIR,Williams,0.0,+2 Laps
14.0,STR,Williams,0.0,+2 Laps
15.0,VAN,McLaren,0.0,Collision damage
16.0,HAM,Mercedes,0.0,Fuel pressure
17.0,HAR,Toro Rosso,0.0,Hydraulics
18.0,RIC,Red Bull Racing,0.0,Exhaust
19.0,BOT,Mercedes,0.0,Hydraulics
20.0,HUL,Renault,0.0,Engine
