Position,Driver,Team,Points,Status
1.0,RIC,Red Bull Racing,25.0,Finished
2.0,VET,Ferrari,18.0,Finished
3.0,HAM,Mercedes,15.0,Finished
4.0,RAI,Ferrari,12.0,Finished
5.0,BOT,Mercedes,10.0,Finished
6.0,OCO,Force India,8.0,Finished
7.0,GAS,Toro Rosso,6.0,Finished
8.0,HUL,Renault,4.0,Finished
9.0,VER,Red Bull Racing,2.0,Finished
10.0,SAI,Renault,1.0,Finished
11.0,ERI,Sauber,0.0,Finished
12.0,PER,Force India,0.0,Finished
13.0,MAG,Haas F1 Team,0.0,Finished
14.0,VAN,McLaren,0.0,+1 Lap
15.0,GRO,Haas F1 Team,0.0,+1 Lap
16.0,SIR,Williams,0.0,+1 Lap
17.0,STR,Williams,0.0,+2 Laps
18.0,LEC,Sauber,0.0,Collision
19.0,HAR,Toro Rosso,0.0,Collision
20.0,ALO,McLaren,0.0,Gearbox
