Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,2,Soft,45,2,46,102.5500909090909,98.202,McLaren,45
ALO,3,ULTRASOFT,4,47,50,105.86525,95.133,McLaren,4
BOT,2,Soft,38,2,39,100.90908108108108,96.19,Mercedes,38
BOT,3,SUPERSOFT,14,40,53,98.9805,94.225,Mercedes,14
ERI,1,SUPERSOFT,34,3,35,104.29169696969697,98.134,Sauber,33
ERI,2,ULTRASOFT,17,36,52,100.82417647058823,96.494,Sauber,17
GRO,1,ULTRASOFT,36,3,34,104.24109375,97.45,Haas F1 Team,32
GRO,2,SUPERSOFT,18,35,52,99.38844444444445,95.695,Haas F1 Team,18
HAM,1,SUPERSOFT,34,3,33,102.2551935483871,95.663,Mercedes,31
HAM,2,Soft,20,34,53,97.6545,94.509,Mercedes,20
HAR,1,ULTRASOFT,37,3,38,102.32042857142858,98.13,Toro Rosso,36
HAR,2,SUPERSOFT,14,39,52,101.54314285714285,96.839,Toro Rosso,14
HUL,1,Soft,36,3,37,103.22897142857143,97.519,Renault,35
HUL,2,ULTRASOFT,19,38,53,99.32775,95.873,Renault,16
LEC,1,ULTRASOFT,33,3,31,104.78541379310344,98.38,Sauber,29
LEC,2,SUPERSOFT,22,32,53,98.722,95.977,Sauber,22
MAG,1,ULTRASOFT,30,3,28,105.27073076923078,97.903,Haas F1 Team,26
MAG,2,Soft,25,29,53,98.42219999999999,95.425,Haas F1 Team,25
PER,1,Soft,26,3,27,104.93812,98.319,Force India,25
RAI,1,ULTRASOFT,36,3,34,102.48946875,96.523,Ferrari,32
RAI,2,SUPERSOFT,19,35,53,97.97663157894738,94.398,Ferrari,19
RIC,1,SUPERSOFT,32,3,28,103.77253846153847,96.461,Red Bull Racing,26
RIC,2,Soft,25,29,53,98.23812,95.382,Red Bull Racing,25
SAI,1,ULTRASOFT,28,3,26,105.94854166666666,98.451,Renault,24
SAI,2,Soft,27,27,53,98.70085185185184,95.638,Renault,27
SIR,2,Soft,51,2,52,102.90366,98.3,Williams,51
STR,2,Soft,47,2,48,102.4190652173913,98.319,Williams,47
VAN,1,SUPERSOFT,39,3,40,101.85713513513514,97.706,McLaren,38
VAN,2,ULTRASOFT,12,41,52,101.21758333333332,96.675,McLaren,12
VER,1,SUPERSOFT,27,3,25,104.67008695652173,96.633,Red Bull Racing,23
VER,2,Soft,28,26,53,97.19075,94.275,Red Bull Racing,28
VET,2,Soft,39,2,40,101.26828947368422,96.282,Ferrari,39
VET,3,ULTRASOFT,16,41,53,99.27138461538462,94.485,Ferrari,13
