Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
NOR,McLaren,2,0 days 00:01:38.480000,0 days 00:00:29.268000,0 days 00:00:41.412000,0 days 00:00:27.800000,Medium,2,1,,,1,True,0 days 01:00:20.155000,98.48,29.268,41.412,27.8,3620.155,3590.693,30.8,75.0,1007.7,False,37.4,192,0.9,False,True,,,0.2971974004874086,0.4205117790414297,0.28229082047116166,3,False,singapore_grand_prix,2024,97.77358620689655,29
VER,Red Bull Racing,2,0 days 00:01:38.790000,0 days 00:00:29.027000,0 days 00:00:41.805000,0 days 00:00:27.958000,Medium,2,1,,,1,True,0 days 01:00:21.454000,98.79,29.027,41.805,27.958,3621.454,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.2938252859601174,0.42317036137260855,0.283004352667274,3,False,singapore_grand_prix,2024,98.50278571428571,28
HAM,Mercedes,2,0 days 00:01:38.853000,0 days 00:00:29.507000,0 days 00:00:41.692000,0 days 00:00:27.654000,Soft,4,1,,,1,True,0 days 01:00:22.806000,98.853,29.507,41.692,27.654,3622.806,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.29849372300284266,0.4217575592040707,0.27974871779308674,3,False,singapore_grand_prix,2024,98.9419375,16
RUS,Mercedes,2,0 days 00:01:38.489000,0 days 00:00:28.986000,0 days 00:00:41.538000,0 days 00:00:27.965000,Medium,2,1,,,1,True,0 days 01:00:23.562000,98.489,28.986,41.538,27.965,3623.562,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.29430697844429327,0.4217526830407456,0.28394033851496103,3,False,singapore_grand_prix,2024,98.81115384615386,26
PIA,McLaren,2,0 days 00:01:38.939000,0 days 00:00:29.283000,0 days 00:00:41.853000,0 days 00:00:27.803000,Medium,2,1,,,1,True,0 days 01:00:25.458000,98.939,29.283,41.853,27.803,3625.458,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.29597024429193747,0.4230182233497408,0.2810115323583218,3,False,singapore_grand_prix,2024,98.59756756756757,37
HUL,Haas F1 Team,2,0 days 00:01:39.449000,0 days 00:00:29.305000,0 days 00:00:42.004000,0 days 00:00:28.140000,Medium,2,1,,,1,True,0 days 01:00:26.423000,99.449,29.305,42.004,28.14,3626.423,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.29467365182153665,0.4223672435117497,0.2829591046667136,3,False,singapore_grand_prix,2024,99.47932142857142,28
ALO,Aston Martin,2,0 days 00:01:39.584000,0 days 00:00:29.362000,0 days 00:00:42.262000,0 days 00:00:27.960000,Medium,3,1,,,1,True,0 days 01:00:27.219000,99.584,29.362,42.262,27.96,3627.219,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.29484656169665807,0.42438544344473006,0.2807679948586118,3,False,singapore_grand_prix,2024,99.40341666666666,24
LEC,Ferrari,2,0 days 00:01:39.775000,0 days 00:00:29.430000,0 days 00:00:42.264000,0 days 00:00:28.081000,Medium,2,1,,,1,True,0 days 01:00:28.116000,99.775,29.43,42.264,28.081,3628.116,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.2949636682535705,0.42359308443999,0.2814432473064395,3,False,singapore_grand_prix,2024,99.23654285714285,35
COL,Williams,2,0 days 00:01:39.890000,0 days 00:00:29.220000,0 days 00:00:42.526000,0 days 00:00:28.144000,Medium,2,1,,,1,True,0 days 01:00:28.837000,99.89,29.22,42.526,28.144,3628.837,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.2925217739513465,0.4257283011312444,0.28174992491740913,3,False,singapore_grand_prix,2024,99.48474999999999,28
PER,Red Bull Racing,2,0 days 00:01:39.896000,0 days 00:00:29.534000,0 days 00:00:42.418000,0 days 00:00:27.944000,Medium,2,1,,,1,True,0 days 01:00:29.297000,99.896,29.534,42.418,27.944,3629.297,3650.691,30.8,75.0,1007.7,False,37.4,200,0.8,False,True,,,0.2956474733723072,0.42462160647072955,0.2797309201569632,3,False,singapore_grand_prix,2024,99.59111111111112,27
